Family name	Common root gene symbol
Regulatory factor X family	RFX
MAPK activated protein kinases	MAPKAPK
RAF family	
Volume regulated anion channel subunits	LRRC8
Integrin beta subunits	ITGB
Integrin alpha subunits	ITGA
Taste 1 receptors	TAS1R
Taste 2 receptors	TAS2R
LIM zinc finger domain containing	LIMS
CDC42 effector proteins	CDC42EP
CCAAT/enhancer binding proteins 	CEBP
Helicases	
DNA helicases	
RNA helicases	
UPF1 like RNA helicases	
SCF complex	
Lysozymes	LY
Lysozymes, g-type	LYG
Lysozymes, c-type	LYZ
Growth hormone family	
Diacylglycerol kinases	DGK
Sushi domain containing	
Myosin phosphatase targeting family	MYPT
Activating leukocyte immunoglobulin like receptors	LILRA
Inhibitory leukocyte immunoglobulin like receptors	LILRB
TEA domain transcription factors	TEAD
Prickle planar cell polarity proteins	PRICKLE
Type I classical cadherins	CDH
Type II classical cadherins	CDH
7D cadherins	
Desmosomal cadherins	DSC, DSG
CELSR cadherins	CELSR
Mannosidases	
Mannosidases type alpha	
Mannosidases alpha class 1	MAN1
Mannosidases alpha class 2	MAN2
Mannosidases endo-alpha	MANEA
Mannosidases type beta	MANBA
PR/SET domain family	PRDM
Ras association domain family	RASSF
Glutamate ionotropic receptor kainate type subunits	GRIK
Glutamate ionotropic receptor AMPA type subunits	GRIA
Glutamate ionotropic receptor NMDA type subunits	GRIN
Glutamate ionotropic receptor delta type subunits	GRID
Sodium voltage-gated channel alpha subunits	
Sodium voltage-gated channel beta subunits	
DASH family	
ATPase Na+/K+ transporting subunits	ATP1
ATPases Ca2+ transporting	ATP2
ATPase phospholipid transporting	
ATPase H+/K+ transporting	
ATPase copper transporting	ATP7
ATPase orphan transporters	ATP13
Transmembrane BAX inhibitor motif containing	TMBIM
Transcription elongation factor A like family	TCEAL
Brain expressed X-linked family	BEX
LIM domain containing	
Troponin complex subunits	TNN
PDZ domain containing	PDZ
H/ACA ribonucleoprotein complex	NOLA
Crumbs complex	
Scribble complex	
UTPb subcomplex	
LY6/PLAUR domain containing	LYPD
Phospholipase A and acyltransferase family	PLAAT
Translocase of outer mitochondrial membrane complex	TOMM
BEACH domain containing 	
Bromodomain and extra-terminal domain family	
Bromodomain containing	BRD
MRH domain containing 	
C3 and PZP like, alpha-2-macroglobulin domain containing	CPAMD
Diacylglycerol O-acyltransferase 2 family	DGAT2
ASAP complex	
Exon junction complex	
Transmembrane 9 superfamily members	TM9SF
Tubulin polymerization promoting proteins	TPPP
Arrestins	ARR
EMSY complex	
USH2 complex 	
DAN family	DAND
DNA ligases	LIG
PAR bZIP family	
Proline rich and Gla domain containing	PRRG
Gla domain containing	
Spectrin repeat containing nuclear envelope family	SYNE
Scavenger receptors	SCAR
NF-kappa B complex subunits	
Sm spliceosomal proteins	SNRP
Fos transcription factor family	FOS
Jun transcription factor family	JUN
AP-1 transcription factor 	
SNAG transcriptional repressors	
RGK type GTPase family	
Zinc fingers C2H2C-type	
MBT domain containing	
Interleukin 6 type cytokine family	
Protein phosphatase 2 modulatory subunits	
Protein phosphatase 2 scaffold subunits	PPP2R1
VEGF family	VEGF
ERCC excision repair associated	ERCC
Nucleotide excision repair	
Signal transduction and activation of RNA metabolism family	KHDRBS
Transcription and export complex 2	
BCL2 homology region 3 (BH3) only	
SPARC family	
SIBLING family	
Super elongation complex	
P-TEFb complex subunits	
Membrane associated progesterone receptor family	
YEATS domain containing	
NudC family	NUDC
I-BAR domain containing	
F-BAR domain containing 	
N-BAR domain containing	
PX-BAR domain containing	
BAR-PH domain containing	
AH/BAR superfamily	
FERM domain containing	
SPOUT methyltransferase domain containing	
PRELI domain containing	PRELID
TIR domain containing	
C-type lectin domain containing	CLEC
BCH domain containing 	
MIA family	MIA
Large ribosomal subunit biogenesis complex	
Adenosine deaminase family	
Adenosine deaminases acting on RNA	ADA
NuRD complex subunits	
SIN3 histone deacetylase complex subunits	
BTG/Tob family	
Alpha arrestins	ARRDC
Classical arrestins	ARR
KEOPS complex	
Leucine zipper tumor suppressor family	LZTS
Pregnancy specific glycoproteins	PSG
Nuclear exosome targeting complex	
Carcinoembryonic antigen family	
Non-canonical poly(A) polymerases	
TTT complex	
M14 carboxypeptidases	CP
MIS12 kinetochore complex	
STEAP family	STEAP
Synapsins	SYN
Cavins	CAVIN
BRCA1 A complex	
SRCAP complex	
casein kinase 1 family	CSNK
WASH complex	
MTOR complex 1	
MTOR complex 2	
Shelterin complex	
BRCA1 B complex	
BRCA1 C complex	
TIM22 complex	
Chromosomal passenger complex	
Checkpoint clamp complex	
Ripoptosome	
Apoptosome	
Death inducing signaling complex 	
CST complex	
MRN complex	
tRNA splicing ligase complex	
JmjC hydroxylases	
Polycomb repressive complex 2	
Transcription and export complex 1 subunits	
S100 fused type protein family	
Cornified envelope precursor family	
Small proline rich proteins	SPRR
Epidermal differentiation complex	
Cysteine rich secretory protein family	CRISP
CAP superfamily	
GLIPR family 	GLIPR
Beta-gamma crystallins	
Beta-gamma crystallin domain containing	
NineTeen complex	
NURF complex	
Integrator complex	INTS
Iron (II) and 2-oxoglutarate dependent oxygenases	
Doublecortin superfamily	DCDC
STRIPAK complex	
C1q and TNF related 	C1QTNF
Hedgehog signaling molecule family	
TLC domain containing	
BRISC complex	
MINDY deubiquitinases	MINDY
Haloacid dehalogenase like hydrolase domain containing	HDHD
Mitochondrially encoded ribosomal RNAs	MT-RNR
Cytoplasmic ribosomal RNAs	
5S ribosomal RNAs	RNA5S
Ribosomal 45S RNA clusters	RNR
45S pre-ribosomal RNAs	RNA45S
18S ribosomal RNAs	RNA18S
5.8S ribosomal RNAs	RNA5-8S
28S ribosomal RNAs	RNA28S
Mitochondrial complex I assembly complex	
Src family tyrosine kinases	
Linear ubiquitin chain assembly complex 	
RBR E3 ubiquitin ligases	
Elongin complex	ELO
KICSTOR complex	
GATOR1 subcomplex	
GATOR2 subcomplex	
GATOR complex	
Peptidoglycan recognition proteins	PGLYRP
Methyltransferase families	
SET domain containing	SET
Seven-beta-strand methyltransferase motif containing	
R2TP complex	
Zyxin family	
Ajuba family	
Scavenger receptor cysteine rich domain containing	
CBM complex	
RELT family	REL
Myocardin family	
Glutamine amidotransferase class 1 domain containing	GATD
Retrotransposon Gag like	RTL
Ig-like cell adhesion molecule family	
Gag like LTR retrotransposon derived genes	
Envelope ERV derived genes	
Glycoside hydrolase family 31	
IgCAM CXADR-related subfamily	
DNA transposon derived genes	
Transposable element derived genes	
Heparin binding growth factor family	
m6A methyltransferase complex	
WTAP complex	
ROCO family	ROCO
Endosome-associated recycling protein (EARP) complex	
Golgi associated retrograde protein (GARP) complex	
G protein subunits alpha	GNA
G protein subunits alpha, group s	
G protein subunits alpha, group q	
G protein subunits alpha, group i	GNAI
G protein subunits alpha, group 12/13	
G protein subunits beta	GNB
Heterotrimeric G proteins	
G protein subunits gamma	GNG
Actin related proteins	
M1 metallopeptidases	
M3 metallopeptidase family	
M13 metallopeptidases	
M16 metallopeptidases	
M24 metallopeptidase family	
M20 metallopeptidases	
M28 metallopeptidases	
M19 metallopeptidases	
M38 metallopeptidases	
Hyaluronidases	HYAL
Cleavage stimulation factor subunits	CSTF
Cleavage and polyadenylation specific factor subunits	
Kleisins	
Condensin I subunits	
Condensin II subunits	
Condensin subunits	
Ferritin subunits	
Tec family tyrosine kinases	
Non-receptor tyrosine kinases	
Jak family tyrosine kinases	JAK
Csk family tyrosine kinases	
Fes family tyrosine kinases	
Abl family tyrosine kinases	ABL
Syk family tyrosine kinases	
Nucleoredoxin family	NXN
Glutaredoxin domain containing	GLRX
Microsomal glutathione S-transferases	MGST
Glutathione S-transferases	
Tetraspan junctional complex superfamily	
Clarins	CLRN
Tetraspan vesicle membrane proteins	
Synaptogyrins	SYNGR
Synaptophysins	SYP
eNoSC complex	
Calcium homeostasis modulators	CALHM
MSL histone acetyltransferase complex	
NSL histone acetyltransferase complex	
UTPa subcomplex	
SSU processome	
U3 small nucleolar ribonucleoprotein	
MPP10 subcomplex	
CAP and C-type lectin domain containing	CLEC18
LHFPL tetraspan proteins	LHFPL
UTPc subcomplex	
Cilia and flagella associated	CFAP
Armadillo like helical domain containing	ARMH
Clathrin/coatomer adaptor, adaptin-like, N-terminal domain containing	
Pumilio homology domain containing	PUM
TOG domain containing	
TSC complex	
NTC associated proteins	
U1 small nuclear ribonucleoprotein	
SMN complex	
U2 small nuclear ribonucleoprotein 	
U4/U6 small nuclear ribonucleoprotein 	
U5 small nuclear ribonucleoprotein	
Spliceosomal A complex	
LSm proteins	LSM
tri-snRP complex	
Spliceosomal B complex	
Spliceosomal Bact complex	
Spliceosomal C complex	
Calcium channel auxiliary gamma subunits	CACNG
Calcium voltage-gated channel alpha1 subunits	CACNA1
Calcium voltage-gated channel auxiliary alpha2delta subunits	CACNA2D
Calcium voltage-gated channel auxiliary beta subunits	CACNB
Spliceosomal P complex	
SF3b complex	
Major spliceosome	
Minor spliceosome	
U11/U12 di-snRNP	
Spliceosomal E complex	
Ribosomal 45S rRNA genes outside of clusters	
Gasdermins	GSDM
VPS-C complexes	
HOPS complex	VPS
CORVET complex	
Mitochondrial RNase P complex	
B9 domain containing	
DOCK family Rho GEFs	DOCK
NT-C2 domain containing	
FASTK mitochondrial RNA binding family	FASTK
p120 catenin family	
Catenins	
Plakophilins	PKP
Beta catenins	CTNNB
Alpha catenins	CTNNA
Delta catenins	
MKS complex	
NPHP complex	
Pyruvate dehydrogenase complex	PDH
TCF/LEF transcription factor family	
TIM23 complex	
SF3a complex	SF3A
Retriever complex	
CCC complex	
WRAD complex	
Ski2 like RNA helicases	
CTLH complex	
NSP adaptor proteins	
WBP1/VOPP1 family	
WIPI family	WIPI
Purinosome	
NDC80 kinetochore complex 	
KMN network	
KNL1 complex	
Constitutive centromere associated network	
DAZ RNA binding protein family 	DAZ
Neurexins	NRXN
Neuroligins	NRLGN
MYST type domain containing lysine acetyltransferases	KAT
Neurotrophins	NTF
GDNF family ligands	
Repulsive guidance molecule family	
PI4KA lipid kinase complex	
PIK3C3 complex subunits	
Interferon induced transmembrane proteins	IFITM
interferon induced transmembrane protein domain containing	
Junctophilins	JPH
Matrilins	MATN
Enolases	ENO
BAF complex	
PBAF complex	
GBAF complex	
Myozenins	MYOZ
PTF1 complex	
Myogenic regulatory family	MYF
Ciliogenesis and planar polarity effector complex subunits	CPLANE
Metallo-beta-lactamase fold containing family	
MBL domain containing glyoxalase 2 subfamily	
MBL fold containing DNA/RNA interacting subfamily	
Mitochondrial contact site and cristae organizing system subunits	MICOS
LIMK/TESK kinase family	
Terminal nucleotidyltransferases	TENT
divergent protein kinase domain family	DIPK
RAB11 binding domain containing	RAB11FIP
Small NF90 (ILF3) associated RNAs	SNAR
AGC family kinases	
MARVEL domain containing	
Axonemal dynein assembly factors	DNAAF
Neuregulins	NRG
Calmodulin dependent protein kinases	CAMK
OOSP family	OOSP
My-T-BRC complex	
Chromatin accessibility complex	
Tip60/Nua4 histone acetyltransferase complex subunits	
Granule associated serine proteases of immune defence	
Golgi associated kinase family	GASK
Complement system activation components	
Complement system regulators and receptors	
C1q domain containing	
Hexosaminidases	HEX
TNK family tyrosine kinases	
PTK2 family tyrosine kinases	
PTK6 family tyrosine kinases	
Early B-cell factors	EBF
Clathrin subunits	
Amylases alpha	AMY
Neuraminidases	NEU
Glycoside hydrolases	
Heparanases	HPSE
Glycoside hydrolase family 1	
Alpha-L-fucosidases	FUCA
Galactosidases beta	GLB
Galactosidases alpha	GLA
Shieldin complex	SHLD
Family with sequence similarity 230	FAM230
INHAT complex	
SET complex	
Cysteine rich transmembrane BMP regulators	CRIM
Chordin family	CHRD
Inhibin subunits	INH
Glutamyl-tRNA amidotransferase subunits	
Transforming growth factor beta family	TGFB
Pseudouridine synthases	
Oxoglutarate dehydrogenase family	OGDH
Flavin containing monooxygenases	FMO
Myosin light chain kinase family	MYLK
Basigin family 	
Adaptor related protein complexes	AP
Adaptor related protein complex 1	AP1
Adaptor related protein complex 2	AP2
Adaptor related protein complex 3	AP3
Adaptor related protein complex 4	AP4
Adaptor related protein complex 5	AP5
7SK snRNP complex	
Wnt enhanceosome complex	
EMAP like	EML
TLE family	TLE
Cytoplasmic transfer RNA pseudogenes	
Metaxins	MTX
Mitochondrial intermembrane space bridging complex 	
Subcortical maternal complex	
Mitochondrial sorting and assembly machinery complex	
Endoribonucleases	
MicroRNA non-coding host genes	MIR#HG
Notch receptors	NOTCH
MicroRNA host genes	
MicroRNA protein coding host genes	
LRAT domain containing family	
Macro domain containing	
SWC tripartite complex	
MicroRNA MIR1/206 family	
MicroRNA MIRLET7 family	
MicroRNA MIR9 family	
Deoxyribonucleoside kinases	
MicroRNA MIR10/100 family	
MicroRNA MIR29 family	
MicroRNA MIR34/449 family	
MicroRNA MIR17 family	
MicroRNA MIR19 family	
MicroRNA MIR25/92 family	
MicroRNA MIR124 family	MIR124
MicroRNA MIR133 family	MIR133
MicroRNA MIR141/200 family	
MicroRNA MIR219 family	MIR219
MicroRNA MIR23 family	
MicroRNA MIR128 family	MIR128
MicroRNA MIR130 family	
MicroRNA MIR132/212 family	
MicroRNA MIR146 family	MIR146
MicroRNA MIR148/152 family	
MicroRNA MIR181 family	MIR181
MicroRNA MIR192/215 family	
MicroRNA MIR194 family	MIR194
MicroRNA MIR196 family	MIR196
MicroRNA MIR199 family	MIR199
MicroRNA MIR203 family	MIR203
MicroRNA MIR204/211 family	
MicroRNA MIR208 family	MIR208
MicroRNA MIR218 family	MIR218
MicroRNA MIR451 family	MIR451
Ribosomal biogenesis factors	
PeBoW complex	
Dehydrodolichyl diphosphate synthase 	
Stomatin family	
MicroRNA MIR7 family	MIR7
MicroRNA MIR15/16 family	
MicroRNA MIR24 family	MIR24
MicroRNA MIR26 family	MIR26
MicroRNA MIR27 family	MIR27
MicroRNA MIR30 family	MIR30
MicroRNA MIR33 family	MIR33
Interferon regulatory factors 	IRF
CDK activating kinase complex	
General transcription factor IIH complex subunits	GTF2H
General transcription factor IIE complex subunits	GTF2E
General transcription factor IIIC complex subunits	GTF3C
General transcription factor IIA complex subunits	GTF2A
Depalmitoylases	
General transcription factor IIF complex subunits	GTF2F
FA core complex	
IPT domain containing	
MicroRNA MIR101 family	
MicroRNA MIR103/107 family	
MicroRNA MIR129 family	MIR129
MicroRNA MIR135 family	MIR135
MicroRNA MIR138 family	MIR138
MicroRNA MIR153 family	MIR153
MicroRNA MIR190 family	MIR190
MicroRNA MIR193 family	MIR193
MicroRNA MIR365 family	MIR365
MicroRNA MIR216 family	MIR216
MicroRNA MIR302 family	MIR302
MicroRNA MIR551 family	MIR551
MicroRNA MIR105 family	MIR105
MicroRNA MIR95 family	
MicroRNA MIR147 family	MIR147
MicroRNA MIR154 family	
MicroRNA MIR379 family	
MicroRNA MIR329 family	
MicroRNA MIR500 family	
MicroRNA MIR374 family	MIR374
RISC loading complex	
MicroRNA MIR376 family	MIR376
MicroRNA MIR378 family	MIR378
MicroRNA MIR371 family	
MicroRNA MIR515 family	
B-WICH chromatin-remodelling complex subunits	
MicroRNA MIR506 family	
MicroRNA MIR450 family	MIR450
MicroRNA MIR486 family	MIR486
Serine beta lactamase family	
Paralemmins	PALM
SCAR/WAVE complex	
MicroRNA MIR888 family	
MicroRNA MIR891 family	MIR891
MicroRNA MIR544 family	MIR544
MicroRNA MIR550 family	MIR550
Cyclin and CBS domain divalent metal cation transport mediators	CNNM
I kappa B kinases	
MicroRNA MIR28/151 family	
MicroRNA MIR320 family	MIR320
MicroRNA MIR188/532 family	
MicroRNA MIR548 family	
MicroRNA MIR663 family	MIR663
Diphthamide biosynthesis pathway genes	DPH
MicroRNA MIR664 family	MIR664
MicroRNA MIR1255 family	MIR1255
Histidine triad superfamily	
CAMSAP family	CAMSAP
ELMO domain containing	ELMOD
Family with sequence similarity 83 	FAM83
KCTD family	KCTD
IKK complex	
Variant U1 small nuclear RNAs	RNVU1
ZUP1 deubiquitinase	ZUP
Ectonucleotide pyrophosphatase/phosphodiesterase family	ENPP
Ectonucleoside triphosphate diphosphohydrolase family	
Pentatricopeptide repeat containing	PTCD
B7 family	
Guanylate binding proteins	GBP
Microtubule associated protein RP/EB family 	MAPRE
Profilins	PFN
SLIT and NTRK like family	SLITRK
TAFA chemokine like family	TAFA
Tweety family	TTYH
Torsins	TOR
Thioesterase superfamily	THEM
SSX family	SSX
SPANX family	
Small nucleolar RNA protein coding host genes	
IGF like family	IGFL
Chymotrypsin like elastases	CELA
Small nucleolar RNA host genes	
Small nucleolar RNA non-coding host genes	SNHG
Inter-alpha-trypsin inhibitor heavy chains	ITIH
LGI family	LGI
NDRG family	NDRG
XAGE family	XAGE
GAGE family	GAGE
PAGE family	PAGE
SAGE family	SAGE
BAGE family	BAGE
CT antigen family 45	CT45
CT antigen family 47	CT47
CSAG family	CSAG
Mitochondrial iron-sulfur assembly components	
Iron-sulfur assembly components	
Nectins and nectin-like molecules	
Golgin related	
Tim17 family	
MicroRNA MIR1302 family	MIR1302
MicroRNA MIR1184 family	MIR1184
MicroRNA MIR1233 family	MIR1233
MicroRNA MIR1244 family	MIR1244
MicroRNA MIR1285 family	MIR1285
MicroRNA MIR1289 family	MIR1289
MicroRNA MIR1972 family	MIR1972
MicroRNA MIR3118 family	MIR3118
MicroRNA MIR3156 family	MIR3156
MicroRNA MIR3179 family	MIR3179
MicroRNA MIR3180 family	MIR3180
MicroRNA MIR3198 family	MIR3198
MicroRNA MIR3648 family	MIR3648
MicroRNA MIR3670 family	MIR3670
MicroRNA MIR3680 family	MIR3680
NCoR/SMRT transcriptional repression complex subunits	
Signal recognition particle	
Low confidence cytoplasmic transfer RNAs	
General transcription factor IID complex subunits 	TAF
General transcription factor IIIB complex subunits 	
Runt-related transcription factors	RUNX
IQSEC ArfGEF family	IQSEC
MAB21 family	MAB21
Thioredoxin domain containing 	TXNDC
HECT and RLD domain containing E3 ubiquitin protein ligases	HERC
Atlastins	ATL
Fibrillins	FBN
Filamins	FLN
BAG6 complex	
Dolichyl-phosphate mannosyltransferase subunits	DPM
KDEL endoplasmic reticulum protein retention receptors	KDELR
Fibroblast growth factor family	FGF
Glycoprotein hormone subunits	
R-spondin family	RSPO
WNK lysine deficient protein kinases	WNK
AKT kinases	AKT
Tachykinin precursors	TAC
Neuropeptides	
Aldolases	ALDO
Endothelins	EDN
Contactins	CNTN
Lysosome associated membrane proteins	LAMP
ER membrane protein complex subunits	EMC
Guided entry of tail-anchored proteins complex subunits	GET
GET4-GET5 transmembrane domain recognition complex subunits	
Guided entry of tail-anchored proteins associated factors	
Activating signal cointegrator 1 complex	ASCC
COPI coat complex	COP
Transmembrane and tetratricopeptide repeat containing	TMTC
AH domain containing	
AH/BAR family Rho GTPase activating proteins	
BAR and Dbl domain containing	
Prolyl 3-hydroxylase family	P3H
Isocitrate dehydrogenases	IDH
Pepsinogens	
Peptidase family A1	
Superoxide dismutases	SOD
NRZ tethering complex	
Transforming growth factor beta superfamily	
RZZ complex	
H1 histones	H1
H2A histones	H2A
H2B histones	H2B
H3 histones	H3
H4 histones	H4
CCM adhesion complex	
Calmodulin binding transcription activators 	CAMTA
Caveolins	CAV
TACC family	TACC
Negative elongation factor complex members	NELF
Sec7 family	
Cytohesins	CYTH
ARFGEF family	ARFGEF
Pleckstrin and Sec7 domain containing	PSD
Heterogeneous nuclear ribonucleoproteins	HNRNP
Glycosylphosphatidylinositol transamidase complex	
Pantothenate kinases	PANK
TMEM8 family	TMEM8
Rho guanine nucleotide exchange factors	
HECT domain containing	
COPII coat complex	
Protein coat complexes	
SMG1 complex	
SURF complex	
DECID complex	
Steroid 5-alpha reductase family	SRD5A
SUN family	SUN
Contactin associated protein family	CNTNAP
CREB3 transcription factor family	CREB3
Shroom family	SHROOM
Mitochondrial genome	MT-
Mitochondrially encoded regions	
Mitochondrially encoded protein coding genes	
Mitochondrially encoded RNAs	
Mitochondrially encoded long non-coding RNAs	
IFT-A complex	
IFT-B complex	
IFT-B1 complex	IFT
IFT-B2 complex	IFT
Tenascins	TN
Ras related GTP binding proteins	RRAG
Nuclear factor I family	NFI
Long intergenic non-protein coding RNAs	LINC
Antisense RNAs	
Overlapping transcripts	
Intronic transcripts	
Divergent transcripts	
Long non-coding RNAs with non-systematic symbols	
Long non-coding RNAs with FAM root symbol	
Large subunit mitochondrial ribosomal proteins	MRPL
Small subunit mitochondrial ribosomal proteins	MRPS
HIRA histone chaperone complex subunits	
minichromosome maintenance 2-7 complex	
CMG helicase complex	
APC membrane recruitment proteins	AMER
Atrophins	
Linker of nucleoskeleton and cytoskeleton complex subunits	
Formins	
R2SP complex	
KASH domain containing	
FHF complex	
Outer dynein arm docking complex subunits	ODAD
Type II transmembrane serine proteases	
IQ motif containing GTPase activating protein family	IQGAP
Procollagen-lysine,2-oxoglutarate 5-dioxygenase family	PLOD
3-hydroxyacyl-CoA dehydratase family	HACD
Dynein 1 complex subunits	DYNC1
Dynein 2 complex subunits	DYNC2
ADP-ribosyltransferase family	ART
Dyneins, axonemal outer arm complex subunits	
Dyneins, axonemal inner arm I1/f complex subunits	
dishevelled binding antagonist of beta catenin family	DACT
DNA cross-link repair family	DCLRE1
Radical S-adenosylmethionine domain containing	
Argonaute RISC component family	AGO
Piwi like RNA-mediated gene silencing family	PIWIL
Myosin light chains, class 1	
Myosin light chains, class 2	
CREC family	
 Mitochondrial translation release factor family	MTRF
U11 small nuclear ribonucleoprotein	
Axonemal radial spoke subunits 	RSPH
Methylcrotonyl-CoA carboxylase subunits	MCCC
Transcription factor AP-2 family	TFAP2
Tet methylcytosine dioxygenase family	TET
Adducin family	ADD
TNRC6 adaptor family	TNRC6
PARN exonuclease family	
ATPase F1/V1 alpha/A and beta/B subunit family	
7TM proteins	
TLDc domain containing	TLDC
7BS protein lysine methyltransferases	
7BS protein arginine methyltranferases	
7BS protein methyltransferases	
7BS DNA/RNA methyltransferases	
7BS C5-cytosine DNA/RNA methyltransferases	
7BS N6-adenosine DNA/RNA methyltransferases	
7BS 2'O-ribose DNA/RNA methyltransferases	
7BS small molecule methyltransferases	
Homocysteine methyltransferases	
7BS orphan methyltransferases	
Apelin receptor	
Nuclear receptor subfamily 0 group B	NR0B
Retinoic acid receptors	RAR
Thyroid hormone receptors	THR
Peroxisome proliferator activated receptors	PPAR
Nuclear receptor subfamily 1 group D	NR1D
Nuclear receptor subfamily 2 group C	NR2C
Nuclear receptor subfamily 2 group E	NR2E
Nuclear receptor subfamily 2 group F	NR2F
Nuclear receptor subfamily 3 group C	NR3C
Estrogen receptors	ESR
Estrogen related receptors	ESRR
Nuclear receptor subfamily 4 group A	NR4A
Nuclear receptor subfamily 5 group A	NR5A
Nuclear receptor subfamily 6 group A	NR6A
RAR related orphan receptors	ROR
Nuclear receptor subfamily 1 group H	NR1H
Nuclear receptor subfamily 1 group I	NR1I
Hepatocyte nuclear factor 4 family	HNF4
Retinoid X receptors	RXR
SWI/SNF related BAF chromatin remodeling complexes	
Glucosylceramidases	GBA
2'-5'-oligoadenylate synthetase family	OAS
Peptidase family A28 	
Peptidase family A22	
Cleavage factor Im complex subunits	
Class I HDAC complexes	
MiDAC complex subunits	
Metallopeptidases	
M48 metallopeptidase family	
M49 metallopeptidase family	
M54 metallopeptidase family	
M76 metallopeptidase family	
Peptidase family C1	
Glyoxalase domain containing family	
Ferredoxin family	FDX
Aminoacyl tRNA synthetase complex interacting multifunctional proteins	AIMP
Tubulin polyglutamylase complex subunits	TPGS
Leiomodins	LMOD
SKI complex subunits	
Fc receptors	
Eukaryotic translation initiation factor 2 alpha kinases	EIF2AK
Zinc fingers PCLO-type	
SCF complex core subunits	
PAS domain containing	PASD
MIF4G domain containing proteins	
MD-2 related lipid recognition domain containing	
GIY-YIG endonuclease domain containing	GIYD
SIK family kinases	SIK
Microtubule affinity regulating kinases	MARK
PRKAA related kinases	
Protein kinase AMP-activated catalytic subunit alphas	PRKAA
BR serine/threonine kinases	BRSK
NUAK family kinases	NUAK
MELK family kinases	MELK
Zinc fingers TRAF-type	
Phosphorylase kinase subunits	PHK
bridge-like lipid transfer protein family	BLTP
Serine hydroxymethyltransferase family	SHMT
Protein kinase A subunits	
Alpha-2-macroglobulin family	
Teneurin transmembrane protein family	TENM
thymocyte selection associated high mobility group box family	TOX
Dispatched RND transporter family 	DISP
Transmembrane protein 14 family	TMEM14
Glycosylphosphatidylinositol-N-acetylglucosaminyltransferase complex	
Tubulin gamma complex associated protein family	TUBGCP
NHERF family PDZ scaffold proteins	NHERF
